Source File,Finding Type,Best Details,Confidence,Use Caveat
22-23 MPP Review Notes.docx,"People Leadership — 22-23 Annual Pod Performance Review (5 Direct Reports: Julie, Jamie, Tevis, Erin, Ayesha)","Morgan's 22-23 annual pod performance review. Structure: group wins first, shared improvement areas second, individual goals third (always non-punitive framing). GROUP WINS: Pod hits weekly email activity goal consistently; solid unsubscribe rates; high average touches per prospect. INDIVIDUAL WINS: Julie (email volume, reply rate, bounce rate, Vidyard, THNKS); Jamie (reply rate, THNKS); Tevis (email volume, open rate, reply rate, Vidyards created, THNKS, conversion rate — strongest performer); Erin (email volume, touches, THNKS); Ayesha (open rate, click rate, Vidyard, THNKS). IMPROVEMENT AREAS: 'If everyone is feeling challenged in a particular area, that means we have an opportunity to improve together. That way, no one will feel singled out.' Areas: phone calls, click rates, Thnks, Vidyard, opp goals, C/W revenue. SHORT-TERM GOALS: 'Thnks to every prospect who takes a meeting and a Vidyard to at least 50% of follow-ups.' INDIVIDUAL GOALS: Julie (conversion rate), Jamie (active accounts), Tevis (response time), Erin (reply rate + response time), Ayesha (reply rate + response time).",,
MPP_ 22-23 Performance.docx,MPP Container Doc — 22-23 Performance Index (Links to Substantive Docs),"Container document for Morgan's 22-23 MPP performance materials. Contains: section headers ('2022-2023 Direct Reports: Goals, Stats & Performance'), a link to 'Group + Individual Goals, Challenges, & Wins' Google doc, and 'Individual Performance: Employee 1-5' placeholder labels. The substantive content lives in the linked document (DF-0156 captures the main substance). This file itself is the formal MPP submission structure.",,
The Fine Line_ When AI Enhances Sales and When It_.docx,"Professional Development — Modern Sales Pros AI in Sales Webinar Notes (Post-TreeRing, June 2023)","Morgan's personal notes from a 'Modern Sales Pros' industry webinar dated June 28, 2023 — approximately 2 months after leaving TreeRing. Topic: AI in sales. Key notes: ChatGPT reached 1M users in 2 months (fastest ever); generative AI is new even if AI isn't; call summarization is 'particularly exciting both in sales AND marketing'; risks include fact-checking (lawyer story with false ChatGPT court research); better for backend than predictive scoring; 'If you use a ChatGPT email as-is, you might get thrown into the salespeople using AI emails bucket. But if you use it as a starting point and customize it for your personality, you’ll be in a better place'; ChatGPT for Salesforce formula debugging and rubber ducking; account research limited by September 2021 data cutoff.",,
Content Committee 21-22 Goals & Action Items (As of...).docx,"CC Planning — Full 21-22 Goals, Action Items & Responsibilities (Morgan as CC Lead)","Comprehensive CC work plan for 21-22. Key sections: (1) Pandemic Templates — Morgan assigned to write 'Didn't do a yearbook due to COVID, checking back' (team requested!); Anna writes generic pandemic check-in; Stacey writes warm/caring mid-sequence replacement; (2) Awards — Prospects added, response time, calls tracked monthly; 'Bobby to update Jen/Morgan’s budget'; (3) Vidyard Ideas — video gallery, TreeRing tips teaser, product demo; (4) CC Responsibilities for the year: Manage CC Collection, build Snippet Library, collect inbound/outbound feedback weekly, assign 'chair' positions (Images & Graphics, Survey Results, Final Proofreading), revamp awards with Jen; (5) Process Map: 'Work on content-related sections of Process Map for Outbound. How to reply when X says Y, etc. Slow project over time. Possible deadline = End of year?'; (6) Snail Mailers proposal (handwritten notes, THNKS integration, special coupon codes); (7) Grammarly for Teams proposal; (8) New CC members: Shannon and Tammi as potential additions; (9) 'Add Erika and Megan to meetings monthly starting in September' — active effort to include Marketing in CC.",,
Spring Refresher with Ed Ganze_ 02.07.23.docx,Training Content — Topic Brainstorm for Spring Refresher with Ed Ganze (Feb 2023),"Topic brainstorm document for a 'Spring Refresher' training session with Ed Ganze. Topics organized by category: Advanced Yearbooking (portrait design, roster indexes, tagging best practices, margins/bleed/gutter, QR codes); Finances (book donations, fundraising updates, advertising types); MS/HS Focus (collaboration tools, InDesign import, multi-user editing); New/Updated Features (upcoming releases). Questions included are prospect-facing: 'Can families donate a book without purchasing one?' 'How have schools gotten creative with advertising?' This confirms Morgan was actively developing product training content in early 2023, in her final months at TreeRing.",,
"For Outreach, Sept 2019_ Sent Sample, Follow Up.docx (TR-0480)",Sequence Authorship — Original Sample-Sent / No-Demo Lifecycle Sequence (Sept. 2019),"This is direct primary-source evidence for Morgan’s invention of the “Sample Sent, No Demo” sequence type. The 12-step design moves from delivery confirmation → demo invitation → phone/voicemail support → non-contract and evaluation assets → testimonials → future-year re-entry → cold-marking task in Salesforce. It is not just copy; it is a full follow-up system with branching judgment and CRM exit logic.",High,"Proves authorship and architecture, not performance outcomes on its own; pair with separate performance evidence when making results claims."
Morgan_s Copy -- After Action Review (Post-Mortem).docx (TR-0652),"Strategic Reflection — Sales Peak Post-Mortem Captures Messaging Authorship, Judgment & SDR Advocacy","Morgan documents that she “wrote sequences, some for myself and some for the team,” says “So much of our language in the past years came from me,” and explains why the shift from cloned to shared sequences was strategically disruptive. She also records that she “still met most of my opp/closed-won goals” despite process breakdowns, and argues that Sales Development was “just as important as inbound” and “just as skilled.”",High,"The $1.762M / $1.847M Sales Peak figure is verified as event/team context, not Morgan-only revenue. Also treat the personal mental-health passage as sensitive; it is meaningful context but not automatically external-facing career proof."
Morgan_Jen -- Next Steps!.docx (TR-0465),"Career Self-Advocacy — Senior SDR Proposal Articulates Role Design, Scale Needs & Value Thesis","The document asks for Senior Sales Development recognition, retroactive anniversary dates tied to Inside Sales Team tenure, and expanded responsibilities including running select team meetings, training new hires, assisting management, and managing Sales Development sequences in Outreach. It argues that Morgan and Jen are 'the historians' of the team, a proven 'micro-team,' and that Morgan was about $11K from $1M in closed-won revenue at the time. It closes with: 'It DOES take skill. Skills that we have.'",High,"The ~$11K-from-$1M figure is time-bound and should not replace later, stronger revenue claims. Best used as a historical marker of recognition/advocacy, not as the headline metric."
Melanie + Anna + Morgan_ 4.28.22.docx (TR-0475),"Cross-Functional Analytics Leadership — Outbound Measurement Blueprint Spans Outreach, Salesforce, Vidyard & THNKS","The project blueprint specifies data pulls and analysis questions across Outreach, Salesforce, Vidyard, and THNKS: sequence-level and step-level engagement, one-off email behavior, send timing, opt-outs, skipped steps, phone-call data, sample/qual/demo/opportunity/CW progression, audience and niche segmentation, Pod comparisons, seasonal trends, and year-over-year comparisons from 2018 through 2022. It also defines a future review cadence: holiday check-in, summer full review, and continuous change tracking.",High,"This is a project blueprint, not proof that every report/export was ultimately completed exactly as specified. Use it to prove analytical design leadership; use separate outputs to prove delivered findings."
Content Team 06.01.22.pptx (TR-0668),Institutional Thought Leadership — 'Morgan’s Take on SDR Role' Becomes Official Team Training,"The agenda explicitly names 'Morgan’s Take on SDR role 💪' and 'Awareness, Trust, Timing.' The deck defines the AT&T model as Generate Awareness, Build Trust and Relationships, and Collect Details on Timing. It expands that philosophy into an outbound process: account research, persona identification, Outreach tagging, sequence selection, personalization, next-sequence logic, reply handling, and demo handoff. It also frames SDRs as 'Yearbook Specialists, Therapist, Jedi’s' and consultative selling as 'Teaching, not Telling…'",High,"Deck-level organizational metrics such as 'nearly half of Net New revenue' and team growth from 5 to 25+ SDRs are company/team context, not Morgan-only outcomes."
Individual SDR Dashboard Brainstorm.docx (TR-0464),CRM Enablement Design — Morgan Reimagines Salesforce Dashboards Around SDR Cognitive Load & Actionability,"Morgan identifies a concrete workflow problem: SDRs were expected to check Sales dashboards, outbound dashboards, pod dashboards, and separate reports, making it hard to remember what needed attention. Her proposed solution is a set of individual dashboards that show each SDR only their own data, organized into actionable sections such as Overview, Outreach, Tasks, Follow-Up, Research, Performance, and Scrub, with exact report/filter logic including My Accounts / My Contacts, account statuses, sequence state, open tasks, re-engagement dates, bounce cleanup, performance metrics, and data-hygiene checks.",High,"This is a dashboard design proposal / brainstorm, not proof that every dashboard was ultimately built or rolled out exactly as proposed. Use it to prove design leadership and technical vision unless implementation evidence is separately found."
Morgan 2021_ To Be Re-Assigned.xlsx (TR-0457); 2023 _ Getting Back on the Bike.xlsx (TR-0482),"Territory Strategy — Morgan Turns Massive Account Pools Into Decision Systems, Not Just Lists","TR-0457 shows Morgan analyzing 3,668 schools across Private, Hot Zone, Title 1, and SchoolDigger categories, making Keep/Give decisions and assigning work strategically across teammates; her annotations include memorable priority language like 'Over my dead body lmao' for Wake County. TR-0482 then shows a later 2,025-account SDR re-entry plan divided into Bad Fit, In Contract, Follow-Ups, and Restart + Research, with specific next-step logic and the wonderfully Morgan-ish 'Let’s gooooo.'",High,"Use the counts precisely as verified claims, but do not overstate downstream business outcomes unless separate conversion/revenue evidence is paired."
22-23 So Far_.docx (TR-0651); Erin.docx (TR-0462),"People Management — Morgan Builds a Quantitative Pod Oversight System, Then Applies It in Direct-Report Review","TR-0651 tracks five direct reports individually across activity, responsiveness, email engagement, call connect rate, meetings booked, meetings held, and held rate, while also establishing pod averages. TR-0462 shows the same quantitative management instinct applied in a direct-report review context, compiling one employee’s multi-year opportunity creation, opportunity value, closed-won revenue, close rate, and outreach activity history.",High,"Direct-report outcomes remain those employees’ results, not Morgan-owned revenue. Use the files to prove management systems and review rigor; use rep metrics externally only with pod/direct-report framing."
Persist_ProspectExport (TR-0767); Misc Persist workflow/process screenshots (TR-0771),"Sales Engagement Infrastructure — Persist Scale, Schema & Workflow Configuration Evidence","Together, the export and screenshots show a 6,186-record prospect set, a field-rich account/contact schema, a 26,151-item Outbox view, and visible campaign trigger/status automation logic. The cluster captures the operating environment behind Morgan’s Persist work: not only messaging, but the prospect data model, scaled queue context, and workflow configuration screens that support structured outbound execution.",High,"Use the 6,186 figure only with the existing Verified Claims ruling. Treat the 26,151-item Outbox count as screenshot-specific workflow-scale context, not as emails sent, prospects contacted, or a business outcome."
CRMAuditRoleDashboard.png (TR-0772); TeamReportSystem/report-folder/Views screenshots (TR-0773); team-members + Employee Check-In screenshots (TR-0774),"SalesforceScreenshots Cluster — Visual Proof of CRM Operations, Reporting Architecture & Team Cadence","This cluster makes several previously abstract claims visible. TR-0772 shows a Morgan-view Salesforce cleanup dashboard with 45 accounts scrubbed and $189K in potential value. TR-0773 shows that reporting was organized as a reusable operating system, not ad hoc one-offs: team dashboards, structured report folders, and saved-view/report screenshots spanning fixes, research, inbound, in-contract, progress, and follow-up workflows. TR-0774 adds a people-management layer via a team-members view and recurring Employee Check-In form.",High,"Keep the dashboard metrics contextual. The $189K figure is verified as a dashboard-state potential-value metric, not a closed-won outcome. The 21-member team screenshot is qualitative/team-context evidence, not a claim to use loosely."
Screen Shot 2024-01-16 at 3.29.36 PM.png (TR-0775),Salesforce Coverage-Gap Discovery — Untouched Workable Schools Worth 6.68M+,"This screenshot is unusually valuable because it captures reporting work at the point where CRM data becomes market intelligence. The report identifies 795 workable schools not touched in 23-24, with 6,683,860.20 in total estimated value and further segment detail across districts, counties, states, Hot Zone schools, and private schools.",High,Use the value figure as estimated value only. Do not imply won revenue or completed pipeline conversion.
File-Screen Shot 2021-04-14 at 12.32.03 PM.png (TR-0776),Historical Outbound Campaign Reporting — Multiple Morgan Campaigns with 21% to 53% Reply Rates,"This screenshot preserves several Morgan-authored campaigns with substantial prospect volume and strong visible reply performance. The clearest visible rows span multiple campaign types and audience strategies, including private-school principal outreach, demographic high-school intros, and Hot Zone reconnects.",High,Use the first four clearly aligned rows externally. Lower-row percentages should be rechecked visually before headline use.
File-Screen Shot 2021-09-13 at 11.45.37 AM.png (TR-0778),Morgan’s Pod People Dashboard — Revenue-Aware Performance Management Context,"This screenshot shows a named Morgan’s Pod People dashboard with pod-specific opportunity value, outbound wins, and likely-revenue measures visible alongside broader outbound benchmarks.",High,Do not present broader outbound-company metrics as Morgan’s personal or pod-owned totals. Safest use is the clearly labeled pod measures.
Screen Shot 2023-11-09 at 3.05.27 PM.png (TR-0779),"Live Prospecting Architecture — Persona, Exclusion, Status, and Value Logic in One Saved View","This screenshot shows the implementation layer of Morgan’s targeting strategy: a shared view for YBA-type prospects not yet sequenced, combining person-account criteria, title-based persona inclusion, title/status exclusions, sequencing state, account status, and an estimated-value threshold.",High,Use as process/operations evidence rather than a quantified performance claim.
